order_index,epic,title,description,status,priority,issue_type,story_points,estimated_minutes,definition_of_done,acceptance_criteria,is_ready_for_ai,is_ready_for_human,tenant_id,source_system
27,R2 Audit,Atomic I/O — documents + generation,Per-element I/O for document editor + generation.,not_started,P1,story,5,180,Filled rows for docs+gen,No blank cells,true,false,hirewire,release_train
28,R2 Audit,Atomic I/O — integrity suite,"Per-element I/O for integrity pages (AI detect, consistency, gap, verification).",not_started,P2,story,3,120,Filled rows for integrity,No blank cells,true,false,hirewire,release_train
29,R2 Audit,Atomic I/O — billing + settings,Per-element I/O for billing/Stripe + settings.,not_started,P2,story,3,120,Filled rows for billing+settings,No blank cells; financial actions gated,true,false,hirewire,release_train
30,R2 Audit,State machines (job + application),Formal states/transitions/traps for job lifecycle and application lifecycle.,not_started,P1,story,3,120,"Two state machines, no trap states",Every state exitable,true,false,hirewire,release_train
31,R2 Audit,Trigger/Hook/Loop registry + kill switches,Every cron/webhook/event with exit condition + a human-reachable kill switch.,not_started,P1,story,3,120,All triggers registered w/ kill switch,No loop without exit; no automation without kill switch,true,false,hirewire,release_train
32,R2 Audit,Notification matrix,"Every internal/external message: audience, trigger, template, throttle, fallback.",not_started,P2,story,2,90,All notifications rowed,Every notice has throttle + fallback,true,false,hirewire,release_train
33,R2 Audit,Failure/recovery + dedup keys,Per-flow failure modes + a dedup key for every external write.,not_started,P1,story,3,120,Failure paths + dedup keys defined,No happy-path-only flow; every external write idempotent,true,false,hirewire,release_train
34,R2 Audit,Run the four audits,Orphan / Blank-cell / Trap-state / Fake-complete sweep.,not_started,P1,story,2,90,"Four audits run, findings logged",Zero blank cells; no VERIFIED without receipt,true,false,hirewire,release_train
35,R2 Audit,Ship-gate checklist (§17),Assemble the launch gate; every box YES+receipt or deferred w/ owner+date.,not_started,P1,story,2,60,Ship gate assembled,All blockers named with owner+date,true,false,hirewire,release_train
36,R2 Audit,Emit audit SSOT markdown,One canonical HireWire audit doc (no v0-style summary sprawl).,not_started,P1,chore,1,45,Single SSOT doc committed,Rebuildable-from-blueprint standard met,true,false,hirewire,release_train
37,R3 Emails,Pull HireWire logos from Drive,Locate + download the HireWire logo assets (confirm Drive folder).,not_started,P1,chore,1,20,Logo assets in repo/public,Correct brand assets sourced,false,true,hirewire,release_train
38,R3 Emails,Define email design system,"Colors, type, layout to match the RedLantern standard-doc feel.",not_started,P1,story,2,60,Tokens + layout defined,On-brand spec approved,false,true,hirewire,release_train
39,R3 Emails,Build base email template,Reusable header/logo/body/CTA/footer template.,not_started,P1,story,3,90,Base template renders,Passes on-brand check,true,false,hirewire,release_train
40,R3 Emails,Supabase Auth: confirmation email,Brand the signup confirmation template.,not_started,P1,story,2,45,Confirmation email branded,Renders in Supabase Auth,false,true,hirewire,release_train
41,R3 Emails,Supabase Auth: magic-link email,Brand the magic-link template.,not_started,P1,story,1,30,Magic-link email branded,Renders correctly,false,true,hirewire,release_train
42,R3 Emails,Supabase Auth: password reset email,Brand the reset template.,not_started,P2,story,1,30,Reset email branded,Renders correctly,false,true,hirewire,release_train
43,R3 Emails,Transactional emails (lib/comms/queue),"Brand app transactional emails (e.g. documents-ready, application-logged).",not_started,P2,story,3,90,Transactional emails branded,On-brand + wired to real events,true,false,hirewire,release_train
44,R3 Emails,Throttle + fallback per protocol,Add throttle + failure fallback to every external email.,not_started,P2,chore,2,45,Every email throttled + fallback,No unthrottled/orphan notification,true,false,hirewire,release_train
45,R3 Emails,Cross-client render test,Test emails in Gmail/Apple Mail/Outlook.,not_started,P2,chore,1,30,Renders in 3 major clients,No broken layout,false,true,hirewire,release_train
46,R4 Harden,Reorder 18 legacy mid-file imports,Move mid-file imports to top-of-file so the integrity scan is fully green.,not_started,P3,chore,2,45,integrity scan 0 warnings,Full-repo scan clean,true,false,hirewire,release_train
47,R4 Harden,RLS / tenant-scoping security audit,Confirm every user-data query is tenant/user scoped; RLS as backup not primary.,not_started,P1,story,3,120,All queries scoped; RLS verified,No cross-tenant leakage,true,false,hirewire,release_train
48,R4 Harden,Fix next.config eslint deprecation,Resolve Next 16 invalid-config + middleware→proxy warnings.,not_started,P3,chore,1,20,No config warnings on build,Clean build output,true,false,hirewire,release_train
49,R4 Harden,Remove dead-table references,Purge references to generated_documents (dead) + jobs_deprecated.,not_started,P2,chore,2,45,No dead-table refs in code,grep clean,true,false,hirewire,release_train
50,R4 Harden,Document env/secrets in README,Ensure every required env var is documented.,not_started,P3,chore,1,20,README lists all env vars,New dev can boot from README,true,false,hirewire,release_train
51,R4 Harden,Run /audit security skill,Run the security audit skill; triage + resolve findings.,not_started,P1,story,3,90,Security findings triaged,P0/P1 findings resolved,true,false,hirewire,release_train
